id,start,end,measurable,room,subject,home
618588,2021-03-19 11:56:47.309+00,2021-03-19 11:56:47.309+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618589,2021-03-19 11:56:47.309+00,2021-03-19 11:56:47.309+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618590,2021-03-19 12:09:54.559+00,2021-03-19 12:09:54.559+00,use,kitchen,food2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618592,2021-03-19 12:09:54.559+00,2021-03-19 12:09:54.559+00,use,kitchen,food2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618593,2021-03-19 12:46:47.587+00,2021-03-19 12:46:47.587+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618595,2021-03-19 12:46:47.587+00,2021-03-19 12:46:47.587+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618596,2021-03-19 12:47:23.076+00,2021-03-19 12:47:23.076+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618598,2021-03-19 12:47:23.076+00,2021-03-19 12:47:23.076+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618599,2021-03-19 14:17:36.78+00,2021-03-19 14:17:36.78+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618601,2021-03-19 14:17:36.78+00,2021-03-19 14:17:36.78+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618602,2021-03-19 14:17:36.947+00,2021-03-19 14:17:36.947+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618604,2021-03-19 14:17:36.947+00,2021-03-19 14:17:36.947+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618606,2021-03-19 14:44:50.054+00,2021-03-19 14:44:50.054+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618608,2021-03-19 14:44:50.054+00,2021-03-19 14:44:50.054+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618610,2021-03-19 14:45:58.108+00,2021-03-19 14:45:58.108+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618611,2021-03-19 14:45:58.108+00,2021-03-19 14:45:58.108+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618613,2021-03-19 14:48:02.755+00,2021-03-19 14:48:02.755+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618615,2021-03-19 14:48:02.755+00,2021-03-19 14:48:02.755+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618616,2021-03-19 15:44:38.181+00,2021-03-19 15:44:38.181+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618618,2021-03-19 15:44:38.181+00,2021-03-19 15:44:38.181+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618619,2021-03-19 16:16:07.249+00,2021-03-19 16:16:07.249+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618621,2021-03-19 16:16:07.249+00,2021-03-19 16:16:07.249+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618622,2021-03-19 16:17:40.419+00,2021-03-19 16:17:40.419+00,use,kitchen,food2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618623,2021-03-19 16:17:40.419+00,2021-03-19 16:17:40.419+00,use,kitchen,food2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618625,2021-03-19 16:28:24.894+00,2021-03-19 16:28:24.894+00,use,kitchen,food2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618629,2021-03-19 16:28:24.894+00,2021-03-19 16:28:24.894+00,use,kitchen,food2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618630,2021-03-19 16:28:45.01+00,2021-03-19 16:28:45.01+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618632,2021-03-19 16:28:45.01+00,2021-03-19 16:28:45.01+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618633,2021-03-19 16:54:37.42+00,2021-03-19 16:54:37.42+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618635,2021-03-19 16:54:37.42+00,2021-03-19 16:54:37.42+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618636,2021-03-19 16:56:26.982+00,2021-03-19 16:56:26.982+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618638,2021-03-19 16:56:26.982+00,2021-03-19 16:56:26.982+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618639,2021-03-19 17:09:25.323+00,2021-03-19 17:09:25.323+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618641,2021-03-19 17:09:25.323+00,2021-03-19 17:09:25.323+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618642,2021-03-19 17:25:47.742+00,2021-03-19 17:25:47.742+00,use,bedroom,clothes2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618644,2021-03-19 17:25:47.742+00,2021-03-19 17:25:47.742+00,use,bedroom,clothes2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618645,2021-03-19 17:38:13.855+00,2021-03-19 17:38:13.855+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
